Date,Open,High,Low,Close,Adj Close,Volume
2003-05-06,17.850000,18.250000,17.506250,17.568750,11.814178,15239784
2003-05-07,17.687500,17.875000,17.256250,17.356251,11.671284,16879160
2003-05-08,17.250000,18.281250,17.187500,17.700001,11.902438,20927672
2003-05-09,17.725000,17.843750,17.375000,17.512501,11.776360,7745760
2003-05-12,17.775000,17.837500,17.218750,17.306250,11.637663,6106904
2003-05-13,17.424999,17.650000,17.337500,17.575001,11.818383,6917744
2003-05-14,17.537500,17.775000,17.437500,17.618750,11.847804,7707768
2003-05-15,17.531250,17.762501,17.012501,17.681250,11.889830,7745272
2003-05-16,17.812500,17.956249,17.456249,17.687500,11.894032,7762752
2003-05-19,17.687500,17.987499,17.331249,17.406250,11.704903,15027696
2003-05-20,17.125000,17.424999,16.831249,17.156250,11.536791,12345376
2003-05-21,17.237499,17.299999,15.943750,16.093750,10.822309,25397376
2003-05-22,16.237499,16.243750,15.156250,15.381250,10.343187,15855456
2003-05-23,15.612500,15.725000,14.781250,15.218750,10.233915,14942728
2003-05-26,15.250000,15.250000,14.700000,14.931250,10.040581,8287848
2003-05-27,14.943750,15.543750,14.725000,14.862500,9.994351,9860952
2003-05-28,15.250000,15.562500,15.125000,15.506250,10.427242,15859112
2003-05-29,15.625000,15.831250,15.343750,15.500000,10.423042,20255456
2003-05-30,15.637500,15.768750,15.362500,15.431250,10.376805,6444512
2003-06-02,15.737500,16.000000,15.531250,15.900000,10.692021,10381592
2003-06-03,15.987500,16.212500,15.625000,16.012501,10.767674,10244216
2003-06-04,16.237499,17.231251,16.181250,16.950001,11.398095,19374848
2003-06-05,17.125000,18.062500,17.125000,17.887501,12.028525,27247168
2003-06-06,17.875000,18.456249,17.750000,18.112499,12.179829,15935512
2003-06-09,18.168751,18.168751,17.500000,17.918751,12.049537,6071280
2003-06-10,17.750000,18.362499,17.331249,17.931250,12.057940,11548872
2003-06-11,18.125000,18.612499,17.912500,18.381250,12.360550,9284344
2003-06-12,18.637501,18.793751,18.268749,18.400000,12.373158,7822632
2003-06-13,18.381250,18.875000,18.206249,18.781250,12.629526,7419080
2003-06-16,18.625000,18.662500,18.093750,18.250000,12.272288,5249608
2003-06-17,18.887501,19.287500,18.706249,19.162500,12.885907,9439720
2003-06-18,18.906250,19.375000,18.706249,19.200001,12.911122,6605024
2003-06-19,19.200001,19.312500,18.787500,18.912500,12.717792,3585928
2003-06-20,18.856251,18.937500,18.018749,18.112499,12.179829,11516112
2003-06-23,18.299999,18.337500,17.818750,17.943750,12.066349,4935192
2003-06-24,17.625000,17.793751,17.187500,17.343750,11.662876,9153632
2003-06-25,17.318750,18.025000,17.318750,17.850000,12.003308,5607472
2003-06-26,18.250000,18.450001,17.875000,18.387501,12.364753,6533944
2003-06-27,18.625000,19.299999,18.625000,18.931250,12.730400,16814552
2003-06-30,19.125000,19.537500,18.125000,19.306250,12.982570,8276888
2003-07-01,19.375000,19.450001,18.812500,19.018749,12.789236,5475736
2003-07-02,19.299999,19.350000,18.562500,18.731251,12.595904,3450616
2003-07-03,19.000000,19.312500,18.012501,18.331249,12.326926,6139608
2003-07-04,18.193750,18.487499,18.000000,18.293751,12.301712,3529760
2003-07-07,18.737499,18.737499,18.006250,18.287500,12.297506,3117200
2003-07-08,18.750000,19.562500,18.406250,19.356251,13.016194,8965192
